Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
15 Navarra, Comunidad Foral de;Índice general;Índice;2018M03;94,821
15 Navarra, Comunidad Foral de;Índice general;Índice;2018M02;94,632
15 Navarra, Comunidad Foral de;Índice general;Índice;2018M01;94,579
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M12;95,700
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M11;95,704
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M10;94,950
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M09;94,123
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M08;94,045
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M07;94,298
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M06;94,587
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M05;94,596
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M04;94,624
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M03;93,864
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M02;93,898
15 Navarra, Comunidad Foral de;Índice general;Índice;2017M01;94,258
16 País Vasco;Índice general;Índice;2019M12;97,880
16 País Vasco;Índice general;Índice;2019M11;98,149
16 País Vasco;Índice general;Índice;2019M10;98,037
16 País Vasco;Índice general;Índice;2019M09;97,016
16 País Vasco;Índice general;Índice;2019M08;97,060
16 País Vasco;Índice general;Índice;2019M07;97,043
16 País Vasco;Índice general;Índice;2019M06;97,524
16 País Vasco;Índice general;Índice;2019M05;97,572
16 País Vasco;Índice general;Índice;2019M04;97,354
16 País Vasco;Índice general;Índice;2019M03;96,404
16 País Vasco;Índice general;Índice;2019M02;96,009
16 País Vasco;Índice general;Índice;2019M01;95,585
16 País Vasco;Índice general;Índice;2018M12;96,760
16 País Vasco;Índice general;Índice;2018M11;97,343
16 País Vasco;Índice general;Índice;2018M10;97,580
16 País Vasco;Índice general;Índice;2018M09;96,561
16 País Vasco;Índice general;Índice;2018M08;96,449
16 País Vasco;Índice general;Índice;2018M07;96,310
16 País Vasco;Índice general;Índice;2018M06;96,798
16 País Vasco;Índice general;Índice;2018M05;96,575
16 País Vasco;Índice general;Índice;2018M04;95,767
16 País Vasco;Índice general;Índice;2018M03;95,006
16 País Vasco;Índice general;Índice;2018M02;94,766
16 País Vasco;Índice general;Índice;2018M01;94,665
16 País Vasco;Índice general;Índice;2017M12;95,832
16 País Vasco;Índice general;Índice;2017M11;95,869
16 País Vasco;Índice general;Índice;2017M10;95,514
16 País Vasco;Índice general;Índice;2017M09;94,546
16 País Vasco;Índice general;Índice;2017M08;94,416
16 País Vasco;Índice general;Índice;2017M07;94,165
16 País Vasco;Índice general;Índice;2017M06;94,631
16 País Vasco;Índice general;Índice;2017M05;94,659
16 País Vasco;Índice general;Índice;2017M04;94,780
16 País Vasco;Índice general;Índice;2017M03;93,923
16 País Vasco;Índice general;Índice;2017M02;93,821
16 País Vasco;Índice general;Índice;2017M01;94,240
17 Rioja, La;Índice general;Índice;2019M12;98,426
17 Rioja, La;Índice general;Índice;2019M11;98,451
17 Rioja, La;Índice general;Índice;2019M10;98,028
17 Rioja, La;Índice general;Índice;2019M09;96,912
17 Rioja, La;Índice general;Índice;2019M08;97,058
17 Rioja, La;Índice general;Índice;2019M07;97,144
17 Rioja, La;Índice general;Índice;2019M06;98,211
17 Rioja, La;Índice general;Índice;2019M05;98,264
17 Rioja, La;Índice general;Índice;2019M04;97,824
17 Rioja, La;Índice general;Índice;2019M03;96,330
17 Rioja, La;Índice general;Índice;2019M02;96,314
17 Rioja, La;Índice general;Índice;2019M01;96,050
17 Rioja, La;Índice general;Índice;2018M12;97,408
17 Rioja, La;Índice general;Índice;2018M11;97,812
17 Rioja, La;Índice general;Índice;2018M10;97,644
17 Rioja, La;Índice general;Índice;2018M09;96,525
17 Rioja, La;Índice general;Índice;2018M08;96,499
17 Rioja, La;Índice general;Índice;2018M07;96,428
17 Rioja, La;Índice general;Índice;2018M06;97,498
17 Rioja, La;Índice general;Índice;2018M05;97,210
17 Rioja, La;Índice general;Índice;2018M04;96,184
17 Rioja, La;Índice general;Índice;2018M03;95,087
17 Rioja, La;Índice general;Índice;2018M02;95,224
17 Rioja, La;Índice general;Índice;2018M01;94,997
17 Rioja, La;Índice general;Índice;2017M12;96,291
17 Rioja, La;Índice general;Índice;2017M11;96,280
17 Rioja, La;Índice general;Índice;2017M10;95,683
17 Rioja, La;Índice general;Índice;2017M09;94,466
17 Rioja, La;Índice general;Índice;2017M08;94,397
17 Rioja, La;Índice general;Índice;2017M07;94,260
17 Rioja, La;Índice general;Índice;2017M06;95,536
17 Rioja, La;Índice general;Índice;2017M05;95,504
17 Rioja, La;Índice general;Índice;2017M04;95,379
17 Rioja, La;Índice general;Índice;2017M03;94,099
17 Rioja, La;Índice general;Índice;2017M02;94,375
17 Rioja, La;Índice general;Índice;2017M01;94,765
18 Ceuta;Índice general;Índice;2019M12;98,526
18 Ceuta;Índice general;Índice;2019M11;98,589
18 Ceuta;Índice general;Índice;2019M10;98,360
18 Ceuta;Índice general;Índice;2019M09;97,230
18 Ceuta;Índice general;Índice;2019M08;96,867
18 Ceuta;Índice general;Índice;2019M07;97,154
18 Ceuta;Índice general;Índice;2019M06;98,261
18 Ceuta;Índice general;Índice;2019M05;98,682
18 Ceuta;Índice general;Índice;2019M04;98,963
18 Ceuta;Índice general;Índice;2019M03;97,722
18 Ceuta;Índice general;Índice;2019M02;96,825
18 Ceuta;Índice general;Índice;2019M01;96,802
18 Ceuta;Índice general;Índice;2018M12;98,228
18 Ceuta;Índice general;Índice;2018M11;98,375
18 Ceuta;Índice general;Índice;2018M10;98,657
18 Ceuta;Índice general;Índice;2018M09;97,799
18 Ceuta;Índice general;Índice;2018M08;97,288
18 Ceuta;Índice general;Índice;2018M07;97,228
18 Ceuta;Índice general;Índice;2018M06;98,398
18 Ceuta;Índice general;Índice;2018M05;98,073
18 Ceuta;Índice general;Índice;2018M04;97,599
18 Ceuta;Índice general;Índice;2018M03;96,586
18 Ceuta;Índice general;Índice;2018M02;96,032
18 Ceuta;Índice general;Índice;2018M01;96,013
18 Ceuta;Índice general;Índice;2017M12;97,542
18 Ceuta;Índice general;Índice;2017M11;97,476
18 Ceuta;Índice general;Índice;2017M10;97,367
18 Ceuta;Índice general;Índice;2017M09;96,366
18 Ceuta;Índice general;Índice;2017M08;95,978
18 Ceuta;Índice general;Índice;2017M07;96,015
18 Ceuta;Índice general;Índice;2017M06;97,314
18 Ceuta;Índice general;Índice;2017M05;97,373
18 Ceuta;Índice general;Índice;2017M04;97,344
18 Ceuta;Índice general;Índice;2017M03;96,245
18 Ceuta;Índice general;Índice;2017M02;95,758
18 Ceuta;Índice general;Índice;2017M01;96,285
19 Melilla;Índice general;Índice;2019M12;97,274
19 Melilla;Índice general;Índice;2019M11;96,940
19 Melilla;Índice general;Índice;2019M10;97,146
19 Melilla;Índice general;Índice;2019M09;96,224
19 Melilla;Índice general;Índice;2019M08;95,687
19 Melilla;Índice general;Índice;2019M07;95,799
19 Melilla;Índice general;Índice;2019M06;96,612
19 Melilla;Índice general;Índice;2019M05;96,562
19 Melilla;Índice general;Índice;2019M04;96,705
19 Melilla;Índice general;Índice;2019M03;95,618
19 Melilla;Índice general;Índice;2019M02;94,764
19 Melilla;Índice general;Índice;2019M01;94,760
19 Melilla;Índice general;Índice;2018M12;96,769
19 Melilla;Índice general;Índice;2018M11;97,314
19 Melilla;Índice general;Índice;2018M10;97,325
19 Melilla;Índice general;Índice;2018M09;96,507
19 Melilla;Índice general;Índice;2018M08;95,862
19 Melilla;Índice general;Índice;2018M07;96,379
19 Melilla;Índice general;Índice;2018M06;97,618
19 Melilla;Índice general;Índice;2018M05;97,284
19 Melilla;Índice general;Índice;2018M04;96,573
19 Melilla;Índice general;Índice;2018M03;95,659
19 Melilla;Índice general;Índice;2018M02;95,236
19 Melilla;Índice general;Índice;2018M01;95,262
19 Melilla;Índice general;Índice;2017M12;97,058
19 Melilla;Índice general;Índice;2017M11;96,885
19 Melilla;Índice general;Índice;2017M10;96,513
19 Melilla;Índice general;Índice;2017M09;95,442
19 Melilla;Índice general;Índice;2017M08;94,809
19 Melilla;Índice general;Índice;2017M07;94,694
19 Melilla;Índice general;Índice;2017M06;95,851
19 Melilla;Índice general;Índice;2017M05;95,861
19 Melilla;Índice general;Índice;2017M04;95,838
19 Melilla;Índice general;Índice;2017M03;94,865
19 Melilla;Índice general;Índice;2017M02;94,224
19 Melilla;Índice general;Índice;2017M01;94,696
