Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;08 Castilla - La Mancha;General;Índice;2017T2;102,039
Nacional;08 Castilla - La Mancha;General;Índice;2017T1;101,696
Nacional;09 Cataluña;General;Índice;2019T4;135,113
Nacional;09 Cataluña;General;Índice;2019T3;136,037
Nacional;09 Cataluña;General;Índice;2019T2;133,590
Nacional;09 Cataluña;General;Índice;2019T1;131,836
Nacional;09 Cataluña;General;Índice;2018T4;130,708
Nacional;09 Cataluña;General;Índice;2018T3;129,967
Nacional;09 Cataluña;General;Índice;2018T2;127,004
Nacional;09 Cataluña;General;Índice;2018T1;122,514
Nacional;09 Cataluña;General;Índice;2017T4;120,858
Nacional;09 Cataluña;General;Índice;2017T3;119,167
Nacional;09 Cataluña;General;Índice;2017T2;116,165
Nacional;09 Cataluña;General;Índice;2017T1;112,848
Nacional;10 Comunitat Valenciana;General;Índice;2019T4;115,562
Nacional;10 Comunitat Valenciana;General;Índice;2019T3;115,325
Nacional;10 Comunitat Valenciana;General;Índice;2019T2;114,209
Nacional;10 Comunitat Valenciana;General;Índice;2019T1;112,128
Nacional;10 Comunitat Valenciana;General;Índice;2018T4;111,364
Nacional;10 Comunitat Valenciana;General;Índice;2018T3;110,662
Nacional;10 Comunitat Valenciana;General;Índice;2018T2;109,036
Nacional;10 Comunitat Valenciana;General;Índice;2018T1;107,643
Nacional;10 Comunitat Valenciana;General;Índice;2017T4;106,925
Nacional;10 Comunitat Valenciana;General;Índice;2017T3;105,721
Nacional;10 Comunitat Valenciana;General;Índice;2017T2;104,811
Nacional;10 Comunitat Valenciana;General;Índice;2017T1;104,081
Nacional;11 Extremadura;General;Índice;2019T4;106,046
Nacional;11 Extremadura;General;Índice;2019T3;106,237
Nacional;11 Extremadura;General;Índice;2019T2;105,896
Nacional;11 Extremadura;General;Índice;2019T1;104,880
Nacional;11 Extremadura;General;Índice;2018T4;103,768
Nacional;11 Extremadura;General;Índice;2018T3;104,670
Nacional;11 Extremadura;General;Índice;2018T2;104,122
Nacional;11 Extremadura;General;Índice;2018T1;102,388
Nacional;11 Extremadura;General;Índice;2017T4;101,075
Nacional;11 Extremadura;General;Índice;2017T3;102,398
Nacional;11 Extremadura;General;Índice;2017T2;101,886
Nacional;11 Extremadura;General;Índice;2017T1;102,040
Nacional;12 Galicia;General;Índice;2019T4;113,514
Nacional;12 Galicia;General;Índice;2019T3;112,716
Nacional;12 Galicia;General;Índice;2019T2;111,946
Nacional;12 Galicia;General;Índice;2019T1;109,816
Nacional;12 Galicia;General;Índice;2018T4;109,235
Nacional;12 Galicia;General;Índice;2018T3;108,643
Nacional;12 Galicia;General;Índice;2018T2;106,771
Nacional;12 Galicia;General;Índice;2018T1;106,043
Nacional;12 Galicia;General;Índice;2017T4;104,973
Nacional;12 Galicia;General;Índice;2017T3;104,396
Nacional;12 Galicia;General;Índice;2017T2;102,744
Nacional;12 Galicia;General;Índice;2017T1;102,753
Nacional;13 Madrid, Comunidad de;General;Índice;2019T4;140,469
Nacional;13 Madrid, Comunidad de;General;Índice;2019T3;142,864
Nacional;13 Madrid, Comunidad de;General;Índice;2019T2;140,795
Nacional;13 Madrid, Comunidad de;General;Índice;2019T1;140,440
Nacional;13 Madrid, Comunidad de;General;Índice;2018T4;136,465
Nacional;13 Madrid, Comunidad de;General;Índice;2018T3;136,576
Nacional;13 Madrid, Comunidad de;General;Índice;2018T2;132,253
Nacional;13 Madrid, Comunidad de;General;Índice;2018T1;128,005
Nacional;13 Madrid, Comunidad de;General;Índice;2017T4;124,536
Nacional;13 Madrid, Comunidad de;General;Índice;2017T3;123,166
Nacional;13 Madrid, Comunidad de;General;Índice;2017T2;120,105
Nacional;13 Madrid, Comunidad de;General;Índice;2017T1;116,205
Nacional;14 Murcia, Región de;General;Índice;2019T4;112,501
Nacional;14 Murcia, Región de;General;Índice;2019T3;111,729
Nacional;14 Murcia, Región de;General;Índice;2019T2;110,954
Nacional;14 Murcia, Región de;General;Índice;2019T1;108,708
Nacional;14 Murcia, Región de;General;Índice;2018T4;107,538
Nacional;14 Murcia, Región de;General;Índice;2018T3;107,790
Nacional;14 Murcia, Región de;General;Índice;2018T2;105,157
Nacional;14 Murcia, Región de;General;Índice;2018T1;104,075
Nacional;14 Murcia, Región de;General;Índice;2017T4;102,930
Nacional;14 Murcia, Región de;General;Índice;2017T3;103,736
Nacional;14 Murcia, Región de;General;Índice;2017T2;102,469
Nacional;14 Murcia, Región de;General;Índice;2017T1;101,313
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T4;111,887
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T3;112,359
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T2;111,850
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T1;110,358
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2018T4;108,393
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2018T3;109,013
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2018T2;107,657
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2018T1;105,165
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2017T4;104,199
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2017T3;104,517
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2017T2;104,063
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2017T1;102,962
Nacional;16 País Vasco;General;Índice;2019T4;118,272
Nacional;16 País Vasco;General;Índice;2019T3;120,599
Nacional;16 País Vasco;General;Índice;2019T2;118,350
Nacional;16 País Vasco;General;Índice;2019T1;117,529
Nacional;16 País Vasco;General;Índice;2018T4;114,884
Nacional;16 País Vasco;General;Índice;2018T3;115,044
Nacional;16 País Vasco;General;Índice;2018T2;113,955
Nacional;16 País Vasco;General;Índice;2018T1;111,109
Nacional;16 País Vasco;General;Índice;2017T4;109,377
Nacional;16 País Vasco;General;Índice;2017T3;109,752
Nacional;16 País Vasco;General;Índice;2017T2;107,724
Nacional;16 País Vasco;General;Índice;2017T1;104,709
Nacional;17 Rioja, La;General;Índice;2019T4;116,161
Nacional;17 Rioja, La;General;Índice;2019T3;115,520
Nacional;17 Rioja, La;General;Índice;2019T2;115,227
Nacional;17 Rioja, La;General;Índice;2019T1;113,141
Nacional;17 Rioja, La;General;Índice;2018T4;110,987
Nacional;17 Rioja, La;General;Índice;2018T3;110,650
Nacional;17 Rioja, La;General;Índice;2018T2;108,493
Nacional;17 Rioja, La;General;Índice;2018T1;106,496
Nacional;17 Rioja, La;General;Índice;2017T4;105,228
Nacional;17 Rioja, La;General;Índice;2017T3;103,733
Nacional;17 Rioja, La;General;Índice;2017T2;104,009
