Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;08 Castilla - La Mancha;Total;2017T4;995,6
Ambos sexos;08 Castilla - La Mancha;Total;2017T3;973,3
Ambos sexos;08 Castilla - La Mancha;Total;2017T2;986,0
Ambos sexos;08 Castilla - La Mancha;Total;2017T1;994,3
Ambos sexos;09 Cataluña;Total;2019T4;3.883,9
Ambos sexos;09 Cataluña;Total;2019T3;3.884,5
Ambos sexos;09 Cataluña;Total;2019T2;3.862,4
Ambos sexos;09 Cataluña;Total;2019T1;3.837,6
Ambos sexos;09 Cataluña;Total;2018T4;3.842,5
Ambos sexos;09 Cataluña;Total;2018T3;3.797,6
Ambos sexos;09 Cataluña;Total;2018T2;3.792,4
Ambos sexos;09 Cataluña;Total;2018T1;3.761,9
Ambos sexos;09 Cataluña;Total;2017T4;3.795,4
Ambos sexos;09 Cataluña;Total;2017T3;3.792,3
Ambos sexos;09 Cataluña;Total;2017T2;3.767,9
Ambos sexos;09 Cataluña;Total;2017T1;3.774,6
Ambos sexos;10 Comunitat Valenciana;Total;2019T4;2.453,1
Ambos sexos;10 Comunitat Valenciana;Total;2019T3;2.442,7
Ambos sexos;10 Comunitat Valenciana;Total;2019T2;2.434,3
Ambos sexos;10 Comunitat Valenciana;Total;2019T1;2.390,7
Ambos sexos;10 Comunitat Valenciana;Total;2018T4;2.406,7
Ambos sexos;10 Comunitat Valenciana;Total;2018T3;2.431,4
Ambos sexos;10 Comunitat Valenciana;Total;2018T2;2.431,9
Ambos sexos;10 Comunitat Valenciana;Total;2018T1;2.410,6
Ambos sexos;10 Comunitat Valenciana;Total;2017T4;2.445,8
Ambos sexos;10 Comunitat Valenciana;Total;2017T3;2.441,1
Ambos sexos;10 Comunitat Valenciana;Total;2017T2;2.418,3
Ambos sexos;10 Comunitat Valenciana;Total;2017T1;2.423,7
Ambos sexos;11 Extremadura;Total;2019T4;497,8
Ambos sexos;11 Extremadura;Total;2019T3;499,0
Ambos sexos;11 Extremadura;Total;2019T2;496,5
Ambos sexos;11 Extremadura;Total;2019T1;498,4
Ambos sexos;11 Extremadura;Total;2018T4;495,5
Ambos sexos;11 Extremadura;Total;2018T3;495,9
Ambos sexos;11 Extremadura;Total;2018T2;498,3
Ambos sexos;11 Extremadura;Total;2018T1;495,1
Ambos sexos;11 Extremadura;Total;2017T4;493,2
Ambos sexos;11 Extremadura;Total;2017T3;490,5
Ambos sexos;11 Extremadura;Total;2017T2;500,5
Ambos sexos;11 Extremadura;Total;2017T1;496,6
Ambos sexos;12 Galicia;Total;2019T4;1.241,7
Ambos sexos;12 Galicia;Total;2019T3;1.249,2
Ambos sexos;12 Galicia;Total;2019T2;1.239,1
Ambos sexos;12 Galicia;Total;2019T1;1.234,2
Ambos sexos;12 Galicia;Total;2018T4;1.237,0
Ambos sexos;12 Galicia;Total;2018T3;1.249,4
Ambos sexos;12 Galicia;Total;2018T2;1.250,8
Ambos sexos;12 Galicia;Total;2018T1;1.236,6
Ambos sexos;12 Galicia;Total;2017T4;1.237,9
Ambos sexos;12 Galicia;Total;2017T3;1.254,2
Ambos sexos;12 Galicia;Total;2017T2;1.250,3
Ambos sexos;12 Galicia;Total;2017T1;1.250,8
Ambos sexos;13 Madrid, Comunidad de;Total;2019T4;3.526,9
Ambos sexos;13 Madrid, Comunidad de;Total;2019T3;3.450,2
Ambos sexos;13 Madrid, Comunidad de;Total;2019T2;3.457,6
Ambos sexos;13 Madrid, Comunidad de;Total;2019T1;3.433,9
Ambos sexos;13 Madrid, Comunidad de;Total;2018T4;3.431,8
Ambos sexos;13 Madrid, Comunidad de;Total;2018T3;3.394,1
Ambos sexos;13 Madrid, Comunidad de;Total;2018T2;3.397,7
